City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Constitucion,CL,-35.3333,-72.4167,61.05,57,100,7.92,overcast clouds
1,Qaanaaq,GL,77.484,-69.3632,14.31,71,100,4.5,overcast clouds
2,Gusinoye Ozero,RU,51.1144,106.2614,34.68,78,77,5.3,broken clouds
3,Sisimiut,GL,66.9395,-53.6735,32.97,98,100,25.08,snow
4,Albany,US,42.6001,-73.9662,62.6,55,40,9.22,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,77.16,70,100,8.99,overcast clouds
6,Camacha,PT,33.0833,-16.3333,68.0,68,20,13.8,few clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,75,3.44,light rain
8,Beringovskiy,RU,63.05,179.3167,5.76,94,100,8.75,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,46.99,85,100,3.0,overcast clouds
10,Esna,EG,25.2934,32.554,93.2,18,0,13.8,clear sky
11,Lagoa,PT,39.05,-27.9833,59.27,78,100,9.57,overcast clouds
12,Tiksi,RU,71.6872,128.8694,-12.28,100,100,7.67,overcast clouds
13,Carballo,ES,43.213,-8.691,64.99,59,100,3.0,overcast clouds
14,Waitati,NZ,-45.75,170.5667,52.0,95,100,2.62,light rain
15,Acapulco,MX,16.8634,-99.8901,80.6,65,20,3.44,few clouds
16,Castro,BR,-24.7911,-50.0119,75.51,51,9,3.78,clear sky
17,Palmer,US,42.1584,-72.3287,62.01,58,35,5.01,scattered clouds
18,Kangaatsiaq,GL,68.3065,-53.4641,31.35,98,100,12.08,light snow
19,Bluff,NZ,-46.6,168.3333,46.99,85,87,3.0,overcast clouds
20,Khatanga,RU,71.9667,102.5,-12.57,91,14,4.81,few clouds
21,Kenai,US,60.5544,-151.2583,12.2,44,1,19.57,clear sky
22,Airai,TL,-8.9266,125.4092,58.32,91,7,1.21,clear sky
23,Borova,UA,50.1763,30.1043,50.0,34,0,6.71,clear sky
24,Baherden,TM,38.4362,57.4316,81.82,20,56,6.33,broken clouds
25,East London,ZA,-33.0153,27.9116,71.6,83,20,6.91,few clouds
26,Pocoes,BR,-14.5297,-40.3653,78.06,54,66,11.99,broken clouds
27,Camopi,GF,3.1655,-52.3158,70.99,98,100,2.71,overcast clouds
28,Jamestown,US,42.097,-79.2353,63.0,72,75,12.66,broken clouds
29,Kpandae,GH,8.4689,-0.0113,103.26,24,100,9.19,overcast clouds
30,Jalu,LY,29.0331,21.5482,76.95,21,0,15.82,clear sky
31,Kondratovo,RU,57.9804,56.1066,41.0,87,90,2.53,light rain
32,Camargo,MX,27.6667,-105.1667,74.12,13,2,13.62,clear sky
33,Moose Factory,CA,51.2585,-80.6094,41.0,93,1,11.5,clear sky
34,Sargatskoye,RU,55.6101,73.4972,33.42,97,100,13.6,light snow
35,Merauke,ID,-8.4667,140.3333,78.76,82,95,6.42,overcast clouds
36,Bjornevatn,NO,69.6672,29.9847,30.2,51,0,12.66,clear sky
37,Ornskoldsvik,SE,63.2909,18.7153,33.8,100,75,16.11,light snow
38,Bredasdorp,ZA,-34.5322,20.0403,77.0,47,99,8.05,overcast clouds
39,Ribeira Grande,PT,38.5167,-28.7,62.6,82,40,10.36,scattered clouds
40,Voh,NC,-20.9667,164.7,74.28,93,100,4.79,overcast clouds
41,Talnakh,RU,69.4865,88.3972,14.63,86,100,7.49,overcast clouds
42,Cape Town,ZA,-33.9258,18.4232,73.99,60,0,19.57,clear sky
43,Gorontalo,ID,0.5412,123.0595,76.35,94,98,2.68,overcast clouds
44,Paamiut,GL,61.994,-49.6678,34.43,90,100,11.43,overcast clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,19.57,snow
46,Antofagasta,CL,-23.65,-70.4,73.0,63,75,6.91,broken clouds
47,San Patricio,US,28.017,-97.5169,78.01,83,90,19.57,overcast clouds
48,Ushuaia,AR,-54.8,-68.3,44.6,57,75,5.75,broken clouds
49,High Level,CA,58.5169,-117.136,21.2,93,90,5.75,light snow
50,Tasiilaq,GL,65.6145,-37.6368,24.8,74,40,5.75,scattered clouds
51,Creel,MX,27.75,-107.6333,58.05,19,0,10.42,clear sky
52,Punta Arenas,CL,-53.15,-70.9167,50.0,62,40,17.27,scattered clouds
53,Samarai,PG,-10.6167,150.6667,79.27,86,100,10.18,overcast clouds
54,Cintalapa,MX,16.6951,-93.7272,81.88,46,2,7.27,clear sky
55,Port Alfred,ZA,-33.5906,26.891,69.28,72,14,9.15,few clouds
56,Pirgos,GR,35.1167,25.7178,57.0,32,21,28.9,few clouds
57,Lebu,CL,-37.6167,-73.65,57.18,71,100,11.01,overcast clouds
58,Faya,SA,18.3851,42.4509,77.0,35,40,14.97,scattered clouds
59,Bucerias,MX,20.75,-105.3333,77.0,78,1,2.53,clear sky
60,Kaitangata,NZ,-46.2817,169.8464,47.23,92,100,3.18,overcast clouds
61,Ormara,PK,25.2088,64.6357,80.65,69,13,16.17,few clouds
62,Kariba,ZW,-16.5167,28.8,79.57,49,1,3.74,clear sky
63,Luba,GQ,3.4568,8.5547,87.8,70,20,4.61,light rain
64,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,54,20,18.41,few clouds
65,Hobart,AU,-42.8794,147.3294,50.0,57,34,9.22,light rain
66,Avera,US,33.194,-82.5271,71.6,86,90,9.22,overcast clouds
67,Barrow,US,71.2906,-156.7887,-20.2,76,1,8.05,clear sky
68,Busselton,AU,-33.65,115.3333,57.0,78,0,14.36,clear sky
69,Kodiak,US,57.79,-152.4072,21.2,27,1,26.46,clear sky
70,Oda,JP,35.1833,132.5,42.28,66,9,9.01,clear sky
71,Marawi,PH,7.9986,124.2928,78.01,88,89,8.01,overcast clouds
72,New Norfolk,AU,-42.7826,147.0587,50.0,66,61,1.99,broken clouds
73,Koshurnikovo,RU,54.1667,93.3,19.94,95,23,3.91,few clouds
74,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,20,12.66,few clouds
75,Lompoc,US,34.6391,-120.4579,53.01,93,46,3.44,scattered clouds
76,Souillac,MU,-20.5167,57.5167,77.0,94,75,12.66,light rain
77,Wukari,NG,7.85,9.7833,104.16,21,94,5.41,overcast clouds
78,Berbera,SO,10.4396,45.0143,84.27,57,8,15.21,clear sky
79,Kapaa,US,22.0752,-159.319,68.0,83,90,12.19,light rain
80,Gbarnga,LR,6.9956,-9.4722,93.0,44,97,4.36,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,73.0,70,100,5.01,overcast clouds
82,Ariquemes,BR,-9.9133,-63.0408,79.21,86,99,3.27,overcast clouds
83,Chuy,UY,-33.6971,-53.4616,73.83,72,100,4.09,overcast clouds
84,Husavik,IS,66.0449,-17.3389,28.4,69,75,10.36,light rain
85,Bitung,ID,1.4451,125.1824,75.2,94,40,2.3,scattered clouds
86,Mikkeli,FI,61.6886,27.2723,35.6,93,90,13.8,light rain
87,Matias Romero,MX,16.8833,-95.0333,83.08,59,61,14.94,broken clouds
88,Bila Tserkva,UA,49.8094,30.1121,48.07,37,94,3.65,overcast clouds
89,Jibuti,DJ,11.5,42.5,84.2,58,1,6.91,clear sky
90,Atuona,PF,-9.8,-139.0333,80.53,77,15,17.94,few clouds
91,Vallenar,CL,-28.5708,-70.7581,76.68,34,0,5.3,clear sky
92,Avarua,CK,-21.2078,-159.775,75.2,100,75,2.3,broken clouds
93,Vaini,TO,-21.2,-175.2,73.4,88,75,3.44,broken clouds
94,Srednekolymsk,RU,67.45,153.6833,-7.56,100,95,6.44,overcast clouds
95,Nanortalik,GL,60.1432,-45.2371,37.44,88,100,11.27,light rain
96,Saldanha,ZA,-33.0117,17.9442,77.0,53,94,17.27,overcast clouds
97,Feijo,BR,-8.1642,-70.3536,79.88,77,100,1.21,overcast clouds
98,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,75,2.3,light rain
99,Geraldton,AU,-28.7667,114.6,82.4,36,95,10.36,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,83.39,66,6,11.59,clear sky
